Date,interval_returns,realized_variance,realized_volatility
2024-11-13,13,1.3783515039469052e-05,0.0037126156600797034
2024-11-14,13,1.7989124326181982e-05,0.004241358783005982
2024-11-15,13,2.5219979809947983e-05,0.005021949801615701
2024-11-18,13,1.896133351657994e-05,0.004354461334835796
2024-11-19,13,2.070684709064611e-05,0.004550477677194572
2024-11-20,13,6.269090158505845e-05,0.007917758621292926
2024-11-21,13,7.261515979455328e-05,0.008521452915703593
2024-11-22,13,3.8593059732175974e-05,0.006212331263879605
2024-11-25,13,1.2711300942157215e-05,0.0035652911440942963
2024-11-26,13,5.937165132446036e-06,0.00243662987186114
2024-11-27,13,6.44299318934487e-06,0.0025383051804983713
2024-11-29,8,3.4879550227355892e-06,0.0018676067634102178
2024-12-02,13,4.618939563401792e-06,0.0021491718319859377
2024-12-03,13,9.007210100627356e-06,0.0030012014428604018
2024-12-04,13,4.1852610979318915e-06,0.002045791068983314
2024-12-05,13,7.742069219794955e-06,0.00278245740664524
2024-12-06,13,6.4784105688851375e-06,0.0025452721993698703
2024-12-09,13,1.1618197731846416e-05,0.0034085477452789796
2024-12-10,13,3.818618861389096e-06,0.0019541286706327952
2024-12-11,13,4.2851400861396594e-06,0.0020700579910088654
2024-12-12,13,9.282398009768296e-06,0.0030467028095579485
2024-12-13,13,1.602467655806313e-05,0.00400308338135282
2024-12-16,13,3.1115365952153595e-06,0.0017639548166592475
2024-12-17,13,1.483466676588971e-05,0.0038515797753505914
2024-12-18,13,0.00028645780507181943,0.016925064403771686
2024-12-19,13,7.47951118194698e-05,0.008648416723277723
2024-12-20,13,0.00016585437752547326,0.012878446238792677
2024-12-23,13,3.4485168212673966e-05,0.005872407360927371
2024-12-24,8,1.2804787793703222e-05,0.003578377815952813
2024-12-26,13,9.568560587275443e-06,0.0030933090028762798
2024-12-27,13,7.85913973241909e-05,0.008865178922288648
2024-12-30,13,4.2502729262899526e-05,0.006519411726751082
2024-12-31,13,4.7678885906365194e-05,0.00690498992804227
