date,first_timestamp,last_timestamp,n_price_observations,n_intraday_returns,rv,session_return,is_regular_close,is_model_eligible,quality_flag
2010-07-23,2010-07-23,2010-07-23,390,389,0.00012357381397412365,0.010292499184092556,True,True,eligible_regular_session
2010-07-26,2010-07-26,2010-07-26,390,389,4.643338796521725e-05,0.009490533454558898,True,True,eligible_regular_session
2010-07-27,2010-07-27,2010-07-27,390,389,7.382482833819319e-05,-0.004783540872863083,True,True,eligible_regular_session
2010-07-28,2010-07-28,2010-07-28,390,389,5.659271900522134e-05,-0.005328489303327723,True,True,eligible_regular_session
2010-07-29,2010-07-29,2010-07-29,390,389,9.114168026210314e-05,-0.008766753542975802,True,True,eligible_regular_session
2010-07-30,2010-07-30,2010-07-30,390,389,0.00010651272827784862,0.00709561984770423,True,True,eligible_regular_session
2010-08-02,2010-08-02,2010-08-02,390,389,4.886659216333273e-05,0.011813729281863103,True,True,eligible_regular_session
2010-08-03,2010-08-03,2010-08-03,390,389,4.632038473827971e-05,-0.003343157892938386,True,True,eligible_regular_session
2010-08-04,2010-08-04,2010-08-04,390,389,5.359410986553462e-05,0.005113917858416724,True,True,eligible_regular_session
2010-08-05,2010-08-05,2010-08-05,390,389,3.2980065115743444e-05,0.0019833776385617193,True,True,eligible_regular_session
2010-08-06,2010-08-06,2010-08-06,390,389,7.900531827076792e-05,0.0032958670760075254,True,True,eligible_regular_session
2010-08-09,2010-08-09,2010-08-09,390,389,2.592518609307084e-05,0.002361401958419714,True,True,eligible_regular_session
2010-08-10,2010-08-10,2010-08-10,390,389,0.00010676273898271361,-3.568497306155292e-05,True,True,eligible_regular_session
2010-08-11,2010-08-11,2010-08-11,390,389,7.889760323100103e-05,-0.01765417820490457,True,True,eligible_regular_session
2010-08-12,2010-08-12,2010-08-12,390,389,6.548964303296461e-05,0.005191067495571564,True,True,eligible_regular_session
2010-08-13,2010-08-13,2010-08-13,390,389,5.965397652503604e-05,-0.0016939664609550824,True,True,eligible_regular_session
2010-08-16,2010-08-16,2010-08-16,390,389,6.451083567785033e-05,0.00449455653264982,True,True,eligible_regular_session
2010-08-17,2010-08-17,2010-08-17,390,389,4.026157171731032e-05,0.006805777634444911,True,True,eligible_regular_session
2010-08-18,2010-08-18,2010-08-18,390,389,5.228964707226735e-05,0.002589809682735801,True,True,eligible_regular_session
2010-08-19,2010-08-19,2010-08-19,390,389,0.00010000690694083357,-0.014329088428795017,True,True,eligible_regular_session
2010-08-20,2010-08-20,2010-08-20,390,389,5.854272833583153e-05,-0.0017341044807973036,True,True,eligible_regular_session
2010-08-23,2010-08-23,2010-08-23,390,389,5.3536026068114664e-05,-0.007263253701816241,True,True,eligible_regular_session
2010-08-24,2010-08-24,2010-08-24,390,389,0.00011698028215487459,-0.007798363307653405,True,True,eligible_regular_session
2010-08-25,2010-08-25,2010-08-25,390,389,9.275311349153867e-05,0.0068359594780746,True,True,eligible_regular_session
2010-08-26,2010-08-26,2010-08-26,390,389,8.13865436236909e-05,-0.010467917956123615,True,True,eligible_regular_session
2010-08-27,2010-08-27,2010-08-27,390,389,0.00013847124513312618,0.011973248437221083,True,True,eligible_regular_session
2010-08-30,2010-08-30,2010-08-30,390,389,5.402554678575483e-05,-0.012149159602961809,True,True,eligible_regular_session
2010-08-31,2010-08-31,2010-08-31,390,389,0.00012397312985785205,0.0025885098054508424,True,True,eligible_regular_session
2010-09-01,2010-09-01,2010-09-01,390,389,9.450881485017983e-05,0.019924460625003873,True,True,eligible_regular_session
2010-09-02,2010-09-02,2010-09-02,390,389,3.5203323165319003e-05,0.008005238297197603,True,True,eligible_regular_session
2010-09-03,2010-09-03,2010-09-03,390,389,4.645957742428786e-05,0.0054024001773696146,True,True,eligible_regular_session
2010-09-07,2010-09-07,2010-09-07,390,389,4.337297498207858e-05,-0.0076267999742017185,True,True,eligible_regular_session
2010-09-08,2010-09-08,2010-09-08,390,389,3.674101124967583e-05,0.004872005695592639,True,True,eligible_regular_session
2010-09-09,2010-09-09,2010-09-09,390,389,3.920594307480302e-05,-0.0019090104731295686,True,True,eligible_regular_session
2010-09-10,2010-09-10,2010-09-10,390,389,2.800701414357927e-05,0.003023836435471904,True,True,eligible_regular_session
2010-09-13,2010-09-13,2010-09-13,390,389,3.1967414172518155e-05,0.003652360455094127,True,True,eligible_regular_session
2010-09-14,2010-09-14,2010-09-14,390,389,3.86641512524513e-05,0.0006067853058590789,True,True,eligible_regular_session
2010-09-15,2010-09-15,2010-09-15,390,389,3.551286648397497e-05,0.007376552569923497,True,True,eligible_regular_session
2010-09-16,2010-09-16,2010-09-16,390,389,3.418342587602779e-05,0.0018508142635057221,True,True,eligible_regular_session
2010-09-17,2010-09-17,2010-09-17,390,389,3.801829982305218e-05,-0.002351324257160852,True,True,eligible_regular_session
2010-09-20,2010-09-20,2010-09-20,390,389,3.064277160540249e-05,0.012940232626435327,True,True,eligible_regular_session
2010-09-21,2010-09-21,2010-09-21,390,389,7.30062338393548e-05,-0.0022434305839950904,True,True,eligible_regular_session
2010-09-22,2010-09-22,2010-09-22,390,389,5.094373001265385e-05,-0.0038281348314056253,True,True,eligible_regular_session
2010-09-23,2010-09-23,2010-09-23,390,389,5.445348485781316e-05,-0.002060080467863006,True,True,eligible_regular_session
2010-09-24,2010-09-24,2010-09-24,390,389,3.734733813034065e-05,0.012831813414565388,True,True,eligible_regular_session
2010-09-27,2010-09-27,2010-09-27,390,389,3.057437874015056e-05,-0.00478578455222235,True,True,eligible_regular_session
2010-09-28,2010-09-28,2010-09-28,390,389,6.932759889782114e-05,0.0037974231916668316,True,True,eligible_regular_session
2010-09-29,2010-09-29,2010-09-29,390,389,4.258688294107329e-05,0.00022725286349013348,True,True,eligible_regular_session
2010-09-30,2010-09-30,2010-09-30,390,389,8.61588802578207e-05,-0.007150589459979864,True,True,eligible_regular_session
2010-10-01,2010-10-01,2010-10-01,390,389,6.373393882979375e-05,-0.0020135024736716283,True,True,eligible_regular_session
2010-10-04,2010-10-04,2010-10-04,390,389,5.6517433452694406e-05,-0.006329856401297214,True,True,eligible_regular_session
2010-10-05,2010-10-05,2010-10-05,390,389,4.3003811831830115e-05,0.012847102238647433,True,True,eligible_regular_session
2010-10-06,2010-10-06,2010-10-06,390,389,2.8755235130264812e-05,3.4499413513427956e-05,True,True,eligible_regular_session
2010-10-07,2010-10-07,2010-10-07,390,389,4.0431990272058635e-05,-0.004506899381448963,True,True,eligible_regular_session
2010-10-08,2010-10-08,2010-10-08,390,389,3.707727188553709e-05,0.005587881378108737,True,True,eligible_regular_session
2010-10-11,2010-10-11,2010-10-11,390,389,1.8702207795853703e-05,-0.0013297475010585033,True,True,eligible_regular_session
2010-10-12,2010-10-12,2010-10-12,390,389,4.529667492136177e-05,0.006251655090728759,True,True,eligible_regular_session
2010-10-13,2010-10-13,2010-10-13,390,389,2.926721470304613e-05,0.003221956277212128,True,True,eligible_regular_session
2010-10-14,2010-10-14,2010-10-14,390,389,3.7234855464440784e-05,-0.0032753582191341005,True,True,eligible_regular_session
2010-10-15,2010-10-15,2010-10-15,390,389,6.899647254759723e-05,-0.003251152013367617,True,True,eligible_regular_session
2010-10-18,2010-10-18,2010-10-18,390,389,2.6040664720842004e-05,0.006675501730346887,True,True,eligible_regular_session
2010-10-19,2010-10-19,2010-10-19,390,389,9.454886903674281e-05,-0.006609488506644378,True,True,eligible_regular_session
2010-10-20,2010-10-20,2010-10-20,390,389,5.779993119673208e-05,0.008850067994948222,True,True,eligible_regular_session
2010-10-21,2010-10-21,2010-10-21,390,389,6.59885785830813e-05,-0.0009062766627305232,True,True,eligible_regular_session
2010-10-22,2010-10-22,2010-10-22,390,389,2.729834769130052e-05,0.0014639990090433057,True,True,eligible_regular_session
2010-10-25,2010-10-25,2010-10-25,390,389,4.75399897959225e-05,-0.0024517973162879593,True,True,eligible_regular_session
2010-10-26,2010-10-26,2010-10-26,390,389,3.3857233073683174e-05,0.003625596088178545,True,True,eligible_regular_session
2010-10-27,2010-10-27,2010-10-27,390,389,4.4842726102510565e-05,0.0019383705985790765,True,True,eligible_regular_session
2010-10-28,2010-10-28,2010-10-28,390,389,4.094833226745632e-05,-0.003028681971113654,True,True,eligible_regular_session
2010-10-29,2010-10-29,2010-10-29,390,389,2.7823114676983663e-05,0.0017334031034678353,True,True,eligible_regular_session
2010-11-01,2010-11-01,2010-11-01,390,389,3.9600496608144486e-05,-0.003927887112434043,True,True,eligible_regular_session
2010-11-02,2010-11-02,2010-11-02,390,389,2.544968638819653e-05,0.001828414737463179,True,True,eligible_regular_session
2010-11-03,2010-11-03,2010-11-03,390,389,9.62059065382948e-05,0.0029932381904380794,True,True,eligible_regular_session
2010-11-04,2010-11-04,2010-11-04,390,389,2.4879952209238637e-05,0.012109469844536848,True,True,eligible_regular_session
2010-11-05,2010-11-05,2010-11-05,390,389,2.9518386446322887e-05,0.003883722294149454,True,True,eligible_regular_session
2010-11-08,2010-11-08,2010-11-08,390,389,2.222896255180167e-05,6.543003895422522e-05,True,True,eligible_regular_session
2010-11-09,2010-11-09,2010-11-09,390,389,3.328054991537251e-05,-0.009533336073275202,True,True,eligible_regular_session
2010-11-10,2010-11-10,2010-11-10,390,389,4.7770205466411746e-05,0.003535315694000384,True,True,eligible_regular_session
2010-11-11,2010-11-11,2010-11-11,390,389,4.433141158696171e-05,0.003259979860941708,True,True,eligible_regular_session
2010-11-12,2010-11-12,2010-11-12,390,389,6.716488866097018e-05,-0.006541376396129425,True,True,eligible_regular_session
2010-11-15,2010-11-15,2010-11-15,390,389,3.4342494021090235e-05,-0.004557676562798125,True,True,eligible_regular_session
2010-11-16,2010-11-16,2010-11-16,390,389,7.38983002274198e-05,-0.010172941828808403,True,True,eligible_regular_session
2010-11-17,2010-11-17,2010-11-17,390,389,3.83596211350822e-05,-0.00024604107313177696,True,True,eligible_regular_session
2010-11-18,2010-11-18,2010-11-18,390,389,3.740100898257952e-05,0.007163979367620161,True,True,eligible_regular_session
2010-11-19,2010-11-19,2010-11-19,390,389,2.4039970299547074e-05,0.0038919329203145865,True,True,eligible_regular_session
2010-11-22,2010-11-22,2010-11-22,390,389,3.9983751042109736e-05,0.0022315561194464683,True,True,eligible_regular_session
2010-11-23,2010-11-23,2010-11-23,390,389,6.31357928924538e-05,-0.006750909583017963,True,True,eligible_regular_session
2010-11-24,2010-11-24,2010-11-24,390,389,2.7948096102885833e-05,0.008985283448124801,True,True,eligible_regular_session
2010-11-26,2010-11-26,2010-11-26,272,271,2.1642637156007202e-05,-0.0006219689720327907,False,False,short_or_incomplete
2010-11-29,2010-11-29,2010-11-29,390,389,6.314561334555893e-05,0.0037353590965561716,True,True,eligible_regular_session
2010-11-30,2010-11-30,2010-11-30,390,389,6.367566907320731e-05,0.0018056131484990073,True,True,eligible_regular_session
2010-12-01,2010-12-01,2010-12-01,390,389,4.104409086329583e-05,0.01084877950497016,True,True,eligible_regular_session
2010-12-02,2010-12-02,2010-12-02,390,389,2.5404662426413205e-05,0.011725896446299067,True,True,eligible_regular_session
2010-12-03,2010-12-03,2010-12-03,390,389,2.740379470484758e-05,0.005510783693518629,True,True,eligible_regular_session
2010-12-06,2010-12-06,2010-12-06,390,389,1.9907101239902574e-05,0.0004088441216104139,True,True,eligible_regular_session
2010-12-07,2010-12-07,2010-12-07,390,389,3.8484401102858135e-05,-0.006670954066977035,True,True,eligible_regular_session
